duplicate_group_id,primary_paper_id,possible_duplicate_paper_id,match_type,matched_title,matched_doi,similarity_notes,decision,decision_date,reviewer,notes
D001,P009,P008,same authors/model/topic; preprint versus peer-reviewed article,NeoSSNet / real-time neonatal chest sound separation,No DOI for P008; P009 DOI 10.1109/OJEMB.2024.3401571,P008 is the 2023 arXiv/preprint version of the NeoSSNet neonatal chest sound separation work retained as P009.,Exclude P008 as duplicate/earlier version; retain P009,2026-05-07,Codex local PDF audit,No PDF deleted.
D002,P016,Crossref:10.1016/j.compbiomed.2023.107282; OpenAlex:https://openalex.org/W4385144390; PubMed:37499297; SemanticScholar:cb55614952aac4bcd908240bbb50012d51361e33,Phase 3 candidate matched existing record by doi,A multi-channel UNet framework based on SNMF-DCNN for robust heart-lung-sound separation,10.1016/j.compbiomed.2023.107282,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; OpenAlex; PubMed; Semantic Scholar
D003,P015,OpenAlex:https://openalex.org/W4396985793,Phase 3 candidate matched existing record by doi,Unsupervised framework for single channel heart and lung sounds separation in data constrained environments,10.1016/j.apacoust.2024.110076,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,OpenAlex
D004,P018,Crossref:10.1016/j.bspc.2025.107525; OpenAlex:https://openalex.org/W4407029044; SemanticScholar:f34698e892451e874ec8441f96d687a03225322a,Phase 3 candidate matched existing record by doi,JASSNet: Heart and lung sound separation network based on joint attention mechanism and Semi-Supervised learning,10.1016/j.bspc.2025.107525,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; OpenAlex; Semantic Scholar
D005,P019,OpenAlex:https://openalex.org/W4401581381,Phase 3 candidate matched existing record by doi,Deep Learning in Heart Sound Analysis: From Techniques to Clinical Applications,10.34133/hds.0182,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,OpenAlex
D006,P006,OpenAlex:https://openalex.org/W4412015487; SemanticScholar:60a12d1d845f7fe7156cf150de9db9649794203c,Phase 3 candidate matched existing record by doi,Generative AI Respiratory and Cardiac Sound Separation Using Variational Autoencoders (VAEs),10.3390/cmsf2025010009,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,OpenAlex; Semantic Scholar
D007,P017,Crossref:10.1016/j.bspc.2022.104180; OpenAlex:https://openalex.org/W4210781132; OpenAlex:https://openalex.org/W4297121345; SemanticScholar:8b1fa5fef345c7a4e59402dd873bee46749d1841; SemanticScholar:a87e4f26d4e1400303eccdd4dd51695d377b8ff2,Phase 3 candidate matched existing record by doi,Heart-lung sound separation by nonnegative matrix factorization and deep learning,10.1016/j.bspc.2022.104180,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; OpenAlex; Semantic Scholar
D008,P005,OpenAlex:https://openalex.org/W4306910162; PubMed:36264732; SemanticScholar:67b04198ce00097062510a47cbf7543b3d4308cf; arXiv:2201.03211v1,Phase 3 candidate matched existing record by doi,Noisy Neonatal Chest Sound Separation for High-Quality Heart and Lung Sounds,10.1109/jbhi.2022.3215995,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,OpenAlex; PubMed; Semantic Scholar; arXiv
D009,P013,Crossref:10.1186/s13634-024-01152-0; OpenAlex:https://openalex.org/W4387730620; OpenAlex:https://openalex.org/W4396673039; SemanticScholar:9491166fb5d551586ace2eb938bcc2ad4b144a9c,Phase 3 candidate matched existing record by doi,Research on heart and lung sound separation method based on DAE–NMF–VMD,10.1186/s13634-024-01152-0,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; OpenAlex; Semantic Scholar
D010,P017,Crossref:10.1016/j.bspc.2025.108233; SemanticScholar:943b8e72a8da761f46afb443d48d3d6bdd71e31b,Phase 3 candidate matched existing record by author/title overlap,Heart-lung sound unsupervised separation by nonnegative matrix factorization and modified Hilbert spectrum,10.1016/j.bspc.2025.108233,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; Semantic Scholar
D011,P001,Crossref:10.18178/ijsps.11.1.1-6,Phase 3 candidate matched existing record by doi,Unsupervised Deep Learning of Sparse Signals against Low-Rank Backgrounds with Application to Online Lung Sound Separation,10.18178/ijsps.11.1.1-6,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref
D012,P014,Crossref:10.3390/s22041521; OpenAlex:https://openalex.org/W4213086326,Phase 3 candidate matched existing record by doi,Feature-Based Fusion Using CNN for Lung and Heart Sound Classification,10.3390/s22041521,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Crossref; OpenAlex
D013,P009,PubMed:38899018; SemanticScholar:dfe31994d468f3fc3a3fbbfac316646c661beff8,Phase 3 candidate matched existing record by exact title,NeoSSNet: Real-Time Neonatal Chest Sound Separation Using Deep Learning.,10.1109/jbhi.2020.3047602,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,PubMed; Semantic Scholar
D014,P008,SemanticScholar:de6f14bb91c38ed87ce9cb721a0d026a956c90ac,Phase 3 candidate matched existing record by exact title,Real-time Neonatal Chest Sound Separation using Deep Learning,10.48550/arxiv.2310.17116,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,Semantic Scholar
D015,P002,OpenAlex:https://openalex.org/W4281723957; OpenAlex:https://openalex.org/W4316020571; OpenAlex:https://openalex.org/W4383200203; SemanticScholar:86b6f4d2b44664df924fa8a4495d2fc0f5ff103c,Phase 3 candidate matched existing record by doi,An End-to-End Deep Learning Framework for Real-Time Denoising of Heart Sounds for Cardiac Disease Detection in Unseen Noise,10.1109/access.2023.3292551,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,OpenAlex; Semantic Scholar
D016,P012,PubMed:41024964,Phase 3 candidate matched existing record by doi,Streamlining heart failure patient care with machine learning of thoracic cavity sound data.,10.4330/wjc.v17.i9.109992,Candidate was not added to papers_master.csv to avoid duplicating an existing audited PDF/reference record.,Do not add duplicate candidate,2026-05-10,Codex metadata deduplication,PubMed
D017,P009,P021,same research group and neonatal chest sound separation topic; distinct method and year,NeoSSNet versus reprogrammed Whisper ASR for neonatal chest sound separation,P009 DOI 10.1109/OJEMB.2024.3401571; P021 DOI 10.1109/JBHI.2026.3669531,"Both are Monash neonatal chest sound separation papers, but P021 is a distinct 2026 foundation-model reprogramming study rather than a duplicate of NeoSSNet.",Retain both; not a duplicate,2026-05-11,Codex Phase 6 full-text PDF audit,No PDF deleted.
D018,P025,P023,same authors and NMF lineage; distinct 2025 LLM-assisted extension,Periodicity-guided NMF versus LingoNMF,P025 DOI 10.48550/arXiv.2305.01889; P023 DOI 10.48550/arXiv.2502.05757,P023 extends the authors' NMF line with LLM feedback and an additional manikin dataset; it should not replace P025.,Retain both; not a duplicate,2026-05-11,Codex Phase 6 full-text PDF audit,No PDF deleted.
